Date/Time,Year,Month,Day,Data Quality,Max Temp,Max Temp Flag,Min Temp,Min Temp Flag,Mean Temp,Mean Temp Flag,Heat Deg Days,Heat Deg Days Flag,Cool Deg Days,Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2005-01-01,2005,1,1,,,,,,,,,,,,,,,,,,,,,,,
2005-01-02,2005,1,2,,,,,,,,,,,,,,,,,,,,,,,
2005-01-03,2005,1,3,,,,,,,,,,,,,,,,,,,,,,,
2005-01-04,2005,1,4,,,,,,,,,,,,,,,,,,,,,,,
2005-01-05,2005,1,5,,,,,,,,,,,,,,,,,,,,,,,
2005-01-06,2005,1,6,,,,,,,,,,,,,,,,,,,,,,,
2005-01-07,2005,1,7,,,,,,,,,,,,,,,,,,,,,,,
2005-01-08,2005,1,8,,,,,,,,,,,,,,,,,,,,,,,
2005-01-09,2005,1,9,,,,,,,,,,,,,,,,,,,,,,,
2005-01-10,2005,1,10,,,,,,,,,,,,,,,,,,,,,,,
2005-01-11,2005,1,11,,,,,,,,,,,,,,,,,,,,,,,
2005-01-12,2005,1,12,,,,,,,,,,,,,,,,,,,,,,,
2005-01-13,2005,1,13,,,,,,,,,,,,,,,,,,,,,,,
2005-01-14,2005,1,14,,,,,,,,,,,,,,,,,,,,,,,
2005-01-15,2005,1,15,,,,,,,,,,,,,,,,,,,,,,,
2005-01-16,2005,1,16,,,,,,,,,,,,,,,,,,,,,,,
2005-01-17,2005,1,17,,,,,,,,,,,,,,,,,,,,,,,
2005-01-18,2005,1,18,,,,,,,,,,,,,,,,,,,,,,,
2005-01-19,2005,1,19,,,,,,,,,,,,,,,,,,,,,,,
2005-01-20,2005,1,20,,,,,,,,,,,,,,,,,,,,,,,
2005-01-21,2005,1,21,,,,,,,,,,,,,,,,,,,,,,,
2005-01-22,2005,1,22,,,,,,,,,,,,,,,,,,,,,,,
2005-01-23,2005,1,23,,,,,,,,,,,,,,,,,,,,,,,
2005-01-24,2005,1,24,,,,,,,,,,,,,,,,,,,,,,,
2005-01-25,2005,1,25,,,,,,,,,,,,,,,,,,,,,,,
2005-01-26,2005,1,26,,,,,,,,,,,,,,,,,,,,,,,
2005-01-27,2005,1,27,,,,,,,,,,,,,,,,,,,,,,,
2005-01-28,2005,1,28,,,,,,,,,,,,,,,,,,,,,,,
2005-01-29,2005,1,29,,,,,,,,,,,,,,,,,,,,,,,
2005-01-30,2005,1,30,,,,,,,,,,,,,,,,,,,,,,,
2005-01-31,2005,1,31,,,,,,,,,,,,,,,,,,,,,,,
2005-02-01,2005,2,1,,,,,,,,,,,,,,,,,,,,,,,
2005-02-02,2005,2,2,,,,,,,,,,,,,,,,,,,,,,,
2005-02-03,2005,2,3,,,,,,,,,,,,,,,,,,,,,,,
2005-02-04,2005,2,4,,,,,,,,,,,,,,,,,,,,,,,
2005-02-05,2005,2,5,,,,,,,,,,,,,,,,,,,,,,,
2005-02-06,2005,2,6,,,,,,,,,,,,,,,,,,,,,,,
2005-02-07,2005,2,7,,,,,,,,,,,,,,,,,,,,,,,
2005-02-08,2005,2,8,,,,,,,,,,,,,,,,,,,,,,,
2005-02-09,2005,2,9,,,,,,,,,,,,,,,,,,,,,,,
2005-02-10,2005,2,10,,,,,,,,,,,,,,,,,,,,,,,
2005-02-11,2005,2,11,,,,,,,,,,,,,,,,,,,,,,,
2005-02-12,2005,2,12,,,,,,,,,,,,,,,,,,,,,,,
2005-02-13,2005,2,13,,,,,,,,,,,,,,,,,,,,,,,
2005-02-14,2005,2,14,,,,,,,,,,,,,,,,,,,,,,,
2005-02-15,2005,2,15,,,,,,,,,,,,,,,,,,,,,,,
2005-02-16,2005,2,16,,,,,,,,,,,,,,,,,,,,,,,
2005-02-17,2005,2,17,,,,,,,,,,,,,,,,,,,,,,,
2005-02-18,2005,2,18,,,,,,,,,,,,,,,,,,,,,,,
2005-02-19,2005,2,19,,,,,,,,,,,,,,,,,,,,,,,
2005-02-20,2005,2,20,,,,,,,,,,,,,,,,,,,,,,,
2005-02-21,2005,2,21,,,,,,,,,,,,,,,,,,,,,,,
2005-02-22,2005,2,22,,,,,,,,,,,,,,,,,,,,,,,
2005-02-23,2005,2,23,,,,,,,,,,,,,,,,,,,,,,,
2005-02-24,2005,2,24,,,,,,,,,,,,,,,,,,,,,,,
2005-02-25,2005,2,25,,,,,,,,,,,,,,,,,,,,,,,
2005-02-26,2005,2,26,,,,,,,,,,,,,,,,,,,,,,,
2005-02-27,2005,2,27,,,,,,,,,,,,,,,,,,,,,,,
2005-02-28,2005,2,28,,,,,,,,,,,,,,,,,,,,,,,
2005-03-01,2005,3,1,,,,,,,,,,,,,,,,,,,,,,,
2005-03-02,2005,3,2,,,,,,,,,,,,,,,,,,,,,,,
2005-03-03,2005,3,3,,,,,,,,,,,,,,,,,,,,,,,
2005-03-04,2005,3,4,,,,,,,,,,,,,,,,,,,,,,,
2005-03-05,2005,3,5,,,,,,,,,,,,,,,,,,,,,,,
2005-03-06,2005,3,6,,,,,,,,,,,,,,,,,,,,,,,
2005-03-07,2005,3,7,,,,,,,,,,,,,,,,,,,,,,,
2005-03-08,2005,3,8,,,,,,,,,,,,,,,,,,,,,,,
2005-03-09,2005,3,9,,,,,,,,,,,,,,,,,,,,,,,
2005-03-10,2005,3,10,,,,,,,,,,,,,,,,,,,,,,,
